precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,accuracy,precision_wavg,recall_wavg,f1_wavg,support_wavg
0.6672077922077922,0.9491916859122402,0.7836034318398476,433,0.9067796610169492,0.5107398568019093,0.6534351145038167,419,0.7335680751173709,0.7850254131362392,0.7335680751173709,0.7195887311781141,852
0.63125,0.9528301886792453,0.7593984962406015,424,0.9056603773584906,0.4485981308411215,0.6,428,0.6995305164319249,0.7690993444946408,0.6995305164319249,0.6793250732464965,852
0.6555555555555556,0.9627039627039627,0.7799811142587347,429,0.9279279279279279,0.48699763593380613,0.6387596899224807,423,0.7265258215962441,0.7907826840925433,0.7265258215962441,0.709867660627003,852
0.6570996978851964,0.981941309255079,0.7873303167420815,443,0.9578947368421052,0.4449877750611247,0.6076794657762938,409,0.7241784037558685,0.8014954384173275,0.7241784037558685,0.7010894739662515,852
0.6470588235294118,0.9588377723970944,0.7726829268292683,413,0.9291666666666667,0.5079726651480638,0.6568483063328425,439,0.7265258215962441,0.792417207493326,0.7265258215962441,0.7129981869255936,852
0.6438356164383562,0.9701834862385321,0.7740164684354988,436,0.9333333333333333,0.4375,0.5957446808510638,416,0.710093896713615,0.7851866143589085,0.710093896713615,0.686972966516338,852
0.6458684654300169,0.948019801980198,0.7683049147442327,404,0.918918918918919,0.53125,0.6732673267326733,448,0.7288732394366197,0.7894442907387352,0.7288732394366197,0.7183320985128023,852
0.6428571428571429,0.9619952494061758,0.7706945765937203,421,0.9279279279279279,0.4779582366589327,0.6309341500765697,431,0.7171361502347418,0.7870654860091479,0.7171361502347418,0.6999941730386829,852
0.6436597110754414,0.9413145539906104,0.7645376549094376,426,0.8908296943231441,0.4788732394366197,0.6229007633587786,426,0.710093896713615,0.7672447026992928,0.710093896713615,0.6937192091341081,852
0.6742671009771987,0.9627906976744186,0.7931034482758621,430,0.9327731092436975,0.5260663507109005,0.6727272727272727,422,0.7464788732394366,0.80230646187915,0.7464788732394366,0.7334805068656453,852
0.6345256609642301,0.9737470167064439,0.768361581920904,419,0.9473684210526315,0.45727482678983833,0.6168224299065421,433,0.7112676056338029,0.7935173453753542,0.7112676056338029,0.6913469659323844,852
0.6692789968652038,0.963882618510158,0.790009250693802,443,0.9252336448598131,0.4841075794621027,0.6356340288924559,409,0.7335680751173709,0.7921492445527568,0.7335680751173709,0.7159018965661604,852
0.6331269349845201,0.9738095238095238,0.7673545966228893,420,0.9466019417475728,0.4513888888888889,0.6112852664576803,432,0.7089201877934272,0.7920720088362088,0.7089201877934272,0.688220851750389,852
